,year,month,station,city,PM2.5
361,2019,7,KpBydPlPozna,Bydgoszcz,25.2773487544484
362,2019,7,LdLodzCzerni,Łódź,22.91192361111111
363,2019,7,LdZgieMielcz,Zgierz,33.59448754448398
364,2019,7,LuZielKrotka,Zielona Góra,12.92972368231047
365,2019,7,MpKrakAlKras,Kraków,31.92894684027778
366,2019,7,MpKrakBulwar,Kraków,24.88860613240418
367,2019,7,MzLegZegrzyn,Legionowo,29.13579751736111
368,2019,7,MzPlocMiReja,Płock,22.256774867132865
369,2019,7,MzRadTochter,Radom,23.461016503472223
370,2019,7,MzSiedKonars,Siedlce,23.28498106060606
371,2019,7,MzWarAlNiepo,Warszawa,28.31218656140351
372,2019,7,MzWarWokalna,Warszawa,18.92310501388889
373,2019,7,MzZyraRoosev,Żyrardów,23.995110531250003
374,2019,7,OpKKozBSmial,Kędzierzyn-Koźle,21.190941666666667
375,2019,7,PkPrzemGrunw,Przemyśl,21.51401515151515
376,2019,7,SlKatoKossut,Katowice,27.92725246527778
377,2019,7,SlZlotPotLes,Złoty Potok,18.14753660777385
378,2019,7,WmOlsPuszkin,Olsztyn,17.8690275
379,2019,7,WpKaliSawick,Kalisz,22.45561982394366
380,2019,8,DsWrocAlWisn,Wrocław,18.31523628472222
381,2019,8,KpBydPlPozna,Bydgoszcz,20.66316259259259
382,2019,8,LdLodzCzerni,Łódź,19.026891608391608
383,2019,8,LdZgieMielcz,Zgierz,25.136478260869563
384,2019,8,LuZielKrotka,Zielona Góra,10.8933044921875
385,2019,8,MpKrakAlKras,Kraków,30.222287587412588
386,2019,8,MpKrakBulwar,Kraków,22.833039963369963
387,2019,8,MzLegZegrzyn,Legionowo,24.98963807986111
388,2019,8,MzPlocMiReja,Płock,21.147363874125872
389,2019,8,MzRadTochter,Radom,21.798937038327526
390,2019,8,MzSiedKonars,Siedlce,21.05710227272727
391,2019,8,MzWarAlNiepo,Warszawa,28.798889245487363
392,2019,8,MzWarWokalna,Warszawa,19.155524843636364
393,2019,8,MzZyraRoosev,Żyrardów,19.728572743055555
394,2019,8,OpKKozBSmial,Kędzierzyn-Koźle,18.127079791666667
395,2019,8,PkPrzemGrunw,Przemyśl,20.107224334600758
396,2019,8,SlKatoKossut,Katowice,21.915469375
397,2019,8,SlZlotPotLes,Złoty Potok,16.0509725
398,2019,8,WmOlsPuszkin,Olsztyn,19.14393722222222
399,2019,8,WpKaliSawick,Kalisz,19.20850304964539
400,2019,9,DsWrocAlWisn,Wrocław,15.05492874125874
401,2019,9,KpBydPlPozna,Bydgoszcz,18.48288629032258
402,2019,9,LdLodzCzerni,Łódź,16.07248263888889
403,2019,9,LdZgieMielcz,Zgierz,22.15691791044776
404,2019,9,LuZielKrotka,Zielona Góra,9.61794156133829
405,2019,9,MpKrakAlKras,Kraków,29.75801208333333
406,2019,9,MpKrakBulwar,Kraków,21.44546512635379
407,2019,9,MzLegZegrzyn,Legionowo,19.061376270833332
408,2019,9,MzPlocMiReja,Płock,17.924471115789473
409,2019,9,MzRadTochter,Radom,20.76542510452962
410,2019,9,MzSiedKonars,Siedlce,20.600833333333334
411,2019,9,MzWarAlNiepo,Warszawa,23.623718902777778
412,2019,9,MzWarWokalna,Warszawa,15.559148190839695
413,2019,9,MzZyraRoosev,Żyrardów,17.19395642013889
414,2019,9,OpKKozBSmial,Kędzierzyn-Koźle,17.696546498194945
415,2019,9,PkPrzemGrunw,Przemyśl,19.32988047808765
416,2019,9,SlKatoKossut,Katowice,22.33863291666667
417,2019,9,SlZlotPotLes,Złoty Potok,15.043699337979096
418,2019,9,WmOlsPuszkin,Olsztyn,15.926311145833333
419,2019,9,WpKaliSawick,Kalisz,15.463791035714287
420,2019,10,DsWrocAlWisn,Wrocław,15.010157937062937
421,2019,10,KpBydPlPozna,Bydgoszcz,18.31500516605166
422,2019,10,LdLodzCzerni,Łódź,16.630177083333333
423,2019,10,LdZgieMielcz,Zgierz,25.24960074626866
424,2019,10,LuZielKrotka,Zielona Góra,8.834519682539684
425,2019,10,MpKrakAlKras,Kraków,23.69009416666667
426,2019,10,MpKrakBulwar,Kraków,16.410673881118882
427,2019,10,MzLegZegrzyn,Legionowo,17.749497045138888
428,2019,10,MzPlocMiReja,Płock,16.472274195804196
429,2019,10,MzRadTochter,Radom,19.393062489583333
430,2019,10,MzSiedKonars,Siedlce,19.62185606060606
431,2019,10,MzWarAlNiepo,Warszawa,22.42109728125
432,2019,10,MzWarWokalna,Warszawa,15.134526896946566
433,2019,10,MzZyraRoosev,Żyrardów,15.565289833333331
434,2019,10,OpKKozBSmial,Kędzierzyn-Koźle,16.59724590909091
435,2019,10,PkPrzemGrunw,Przemyśl,19.70245901639344
436,2019,10,SlKatoKossut,Katowice,20.0884859375
437,2019,10,SlZlotPotLes,Złoty Potok,16.267292812500003
438,2019,10,WmOlsPuszkin,Olsztyn,14.384926180555555
439,2019,10,WpKaliSawick,Kalisz,16.170180178571428
440,2019,11,DsWrocAlWisn,Wrocław,15.555190874125875
441,2019,11,KpBydPlPozna,Bydgoszcz,17.096197083333333
442,2019,11,LdLodzCzerni,Łódź,17.514387323943662
443,2019,11,LdZgieMielcz,Zgierz,25.806336917562724
